DATE,A229RX0
1981-03-01,21670.0
1981-04-01,21593.0
1981-05-01,21618.0
1981-06-01,21718.0
1981-07-01,22040.0
1981-08-01,22084.0
1981-09-01,22025.0
1981-10-01,22034.0
1981-11-01,22030.0
1981-12-01,21986.0
1982-01-01,21999.0
1982-02-01,22044.0
1982-03-01,22025.0
1982-04-01,22227.0
1982-05-01,22117.0
1982-06-01,21978.0
1982-07-01,22157.0
1982-08-01,22171.0
1982-09-01,22141.0
1982-10-01,22096.0
1982-11-01,22165.0
1982-12-01,22252.0
1983-01-01,22310.0
1983-02-01,22303.0
1983-03-01,22393.0
1983-04-01,22425.0
1983-05-01,22453.0
1983-06-01,22452.0
1983-07-01,22717.0
1983-08-01,22655.0
1983-09-01,22801.0
1983-10-01,22988.0
1983-11-01,23172.0
1983-12-01,23368.0
1984-01-01,23462.0
1984-02-01,23588.0
1984-03-01,23729.0
1984-04-01,23876.0
1984-05-01,23897.0
1984-06-01,24038.0
1984-07-01,24049.0
1984-08-01,24192.0
1984-09-01,24342.0
1984-10-01,24230.0
1984-11-01,24317.0
1984-12-01,24450.0
1985-01-01,24427.0
1985-02-01,24187.0
1985-03-01,24060.0
1985-04-01,24441.0
1985-05-01,25018.0
1985-06-01,24472.0
1985-07-01,24503.0
1985-08-01,24463.0
1985-09-01,24545.0
1985-10-01,24646.0
1985-11-01,24664.0
1985-12-01,24793.0
1986-01-01,24821.0
1986-02-01,24934.0
1986-03-01,25173.0
1986-04-01,25251.0
1986-05-01,25257.0
1986-06-01,25219.0
1986-07-01,25330.0
1986-08-01,25346.0
1986-09-01,25347.0
1986-10-01,25311.0
1986-11-01,25309.0
1986-12-01,25336.0
1987-01-01,25418.0
1987-02-01,25537.0
1987-03-01,25552.0
1987-04-01,24575.0
1987-05-01,25553.0
1987-06-01,25499.0
1987-07-01,25549.0
1987-08-01,25634.0
1987-09-01,25612.0
1987-10-01,25754.0
1987-11-01,25835.0
1987-12-01,26048.0
1988-01-01,26086.0
1988-02-01,26222.0
1988-03-01,26312.0
1988-04-01,26385.0
1988-05-01,26402.0
1988-06-01,26478.0
1988-07-01,26565.0
1988-08-01,26615.0
1988-09-01,26642.0
1988-10-01,26761.0
1988-11-01,26750.0
1988-12-01,26864.0
1989-01-01,26961.0
1989-02-01,27024.0
1989-03-01,27141.0
1989-04-01,26981.0
1989-05-01,26836.0
1989-06-01,26889.0
1989-07-01,26958.0
1989-08-01,27003.0
1989-09-01,27057.0
1989-10-01,27165.0
1989-11-01,27169.0
1989-12-01,27148.0
1990-01-01,27288.0
1990-02-01,27326.0
1990-03-01,27308.0
1990-04-01,27451.0
1990-05-01,27389.0
1990-06-01,27397.0
1990-07-01,27459.0
1990-08-01,27253.0
1990-09-01,27206.0
1990-10-01,26951.0
1990-11-01,26927.0
1990-12-01,27053.0
1991-01-01,26949.0
1991-02-01,26960.0
1991-03-01,26976.0
1991-04-01,27053.0
1991-05-01,27028.0
1991-06-01,27137.0
1991-07-01,27052.0
1991-08-01,27082.0
1991-09-01,27124.0
1991-10-01,27134.0
1991-11-01,27149.0
1991-12-01,27371.0
1992-01-01,27617.0
1992-02-01,27718.0
1992-03-01,27718.0
1992-04-01,27770.0
1992-05-01,27871.0
1992-06-01,27957.0
1992-07-01,27904.0
1992-08-01,27968.0
1992-09-01,27805.0
1992-10-01,27595.0
1992-11-01,27608.0
1992-12-01,28562.0
1993-01-01,27912.0
1993-02-01,28018.0
1993-03-01,27904.0
1993-04-01,28021.0
1993-05-01,27951.0
1993-06-01,27868.0
1993-07-01,27906.0
1993-08-01,27914.0
1993-09-01,27806.0
1993-10-01,27641.0
1993-11-01,27690.0
1993-12-01,28607.0
1994-01-01,28047.0
1994-02-01,28077.0
1994-03-01,28143.0
1994-04-01,28116.0
1994-05-01,28412.0
1994-06-01,28337.0
1994-07-01,28330.0
1994-08-01,28332.0
1994-09-01,28424.0
1994-10-01,28665.0
1994-11-01,28637.0
1994-12-01,28741.0
1995-01-01,28809.0
1995-02-01,28842.0
1995-03-01,28896.0
1995-04-01,28655.0
1995-05-01,28917.0
1995-06-01,28974.0
1995-07-01,29008.0
1995-08-01,28995.0
1995-09-01,29056.0
1995-10-01,29059.0
1995-11-01,29112.0
1995-12-01,29128.0
1996-01-01,29145.0
1996-02-01,29347.0
1996-03-01,29415.0
1996-04-01,29210.0
1996-05-01,29551.0
1996-06-01,29699.0
1996-07-01,29589.0
1996-08-01,29631.0
1996-09-01,29668.0
1996-10-01,29633.0
1996-11-01,29684.0
1996-12-01,29759.0
1997-01-01,29819.0
1997-02-01,29877.0
1997-03-01,29991.0
1997-04-01,29985.0
1997-05-01,30087.0
1997-06-01,30152.0
1997-07-01,30232.0
1997-08-01,30353.0
1997-09-01,30399.0
1997-10-01,30517.0
1997-11-01,30685.0
1997-12-01,30834.0
1998-01-01,31078.0
1998-02-01,31251.0
1998-03-01,31404.0
1998-04-01,31473.0
1998-05-01,31571.0
1998-06-01,31718.0
1998-07-01,31741.0
1998-08-01,31809.0
1998-09-01,31869.0
1998-10-01,31883.0
1998-11-01,31985.0
1998-12-01,32017.0
1999-01-01,32111.0
1999-02-01,32195.0
1999-03-01,32201.0
1999-04-01,32109.0
1999-05-01,32138.0
1999-06-01,32214.0
1999-07-01,32216.0
1999-08-01,32325.0
1999-09-01,32270.0
1999-10-01,32442.0
1999-11-01,32646.0
1999-12-01,32882.0
2000-01-01,33112.0
2000-02-01,33212.0
2000-03-01,33270.0
2000-04-01,33396.0
2000-05-01,33499.0
2000-06-01,33551.0
2000-07-01,33687.0
2000-08-01,33839.0
2000-09-01,33811.0
2000-10-01,33828.0
2000-11-01,33786.0
2000-12-01,33816.0
2001-01-01,33991.0
2001-02-01,34024.0
2001-03-01,34100.0
2001-04-01,33980.0
2001-05-01,33873.0
2001-06-01,33845.0
2001-07-01,34314.0
2001-08-01,34872.0
2001-09-01,34586.0
2001-10-01,34019.0
2001-11-01,34068.0
2001-12-01,34113.0
2002-01-01,34765.0
2002-02-01,34769.0
2002-03-01,34743.0
2002-04-01,34841.0
2002-05-01,34930.0
2002-06-01,34978.0
2002-07-01,34838.0
2002-08-01,34786.0
2002-09-01,34770.0
2002-10-01,34837.0
2002-11-01,34914.0
2002-12-01,35006.0
2003-01-01,34983.0
2003-02-01,34869.0
2003-03-01,34933.0
2003-04-01,35090.0
2003-05-01,35331.0
2003-06-01,35406.0
2003-07-01,35802.0
2003-08-01,36006.0
2003-09-01,35542.0
2003-10-01,35650.0
2003-11-01,35850.0
2003-12-01,35876.0
2004-01-01,35819.0
2004-02-01,35859.0
2004-03-01,35981.0
2004-04-01,36105.0
2004-05-01,36274.0
2004-06-01,36276.0
2004-07-01,36320.0
2004-08-01,36394.0
2004-09-01,36381.0
2004-10-01,36374.0
2004-11-01,36252.0
2004-12-01,37570.0
2005-01-01,36196.0
2005-02-01,36188.0
2005-03-01,36293.0
2005-04-01,36382.0
2005-05-01,36521.0
2005-06-01,36571.0
2005-07-01,36549.0
2005-08-01,36563.0
2005-09-01,36406.0
2005-10-01,36642.0
2005-11-01,36918.0
2005-12-01,37084.0
2006-01-01,37432.0
2006-02-01,37538.0
2006-03-01,37580.0
2006-04-01,37534.0
2006-05-01,37489.0
2006-06-01,37549.0
2006-07-01,37486.0
2006-08-01,37441.0
2006-09-01,37644.0
2006-10-01,37805.0
2006-11-01,37922.0
2006-12-01,38038.0
2007-01-01,38047.0
2007-02-01,38165.0
2007-03-01,38269.0
2007-04-01,38238.0
2007-05-01,38185.0
2007-06-01,38094.0
2007-07-01,38094.0
2007-08-01,38087.0
2007-09-01,38144.0
2007-10-01,38051.0
2007-11-01,37976.0
2007-12-01,38085.0
2008-01-01,38096.0
2008-02-01,38062.0
2008-03-01,38020.0
2008-04-01,37841.0
2008-05-01,39624.0
2008-06-01,38545.0
2008-07-01,37907.0
2008-08-01,37659.0
2008-09-01,37732.0
2008-10-01,37907.0
2008-11-01,38166.0
2008-12-01,37949.0
2009-01-01,38057.0
2009-02-01,37640.0
2009-03-01,37604.0
2009-04-01,37916.0
2009-05-01,38516.0
2009-06-01,37852.0
2009-07-01,37648.0
2009-08-01,37522.0
2009-09-01,37561.0
2009-10-01,37370.0
2009-11-01,37446.0
2009-12-01,37626.0
2010-01-01,37604.0
2010-02-01,37573.0
2010-03-01,37672.0
2010-04-01,37963.0
2010-05-01,38247.0
2010-06-01,38291.0
2010-07-01,38329.0
2010-08-01,38414.0
2010-09-01,38349.0
2010-10-01,38379.0
2010-11-01,38441.0
2010-12-01,38689.0
2011-01-01,38828.0
2011-02-01,38905.0
2011-03-01,38767.0
2011-04-01,38674.0
2011-05-01,38612.0
2011-06-01,38769.0
2011-07-01,38857.0
2011-08-01,38788.0
2011-09-01,38691.0
2011-10-01,38735.0
2011-11-01,38705.0
2011-12-01,39034.0
2012-01-01,39304.0
2012-02-01,39522.0
2012-03-01,39641.0
2012-04-01,39773.0
2012-05-01,39784.0
2012-06-01,39796.0
2012-07-01,39488.0
2012-08-01,39310.0
2012-09-01,39474.0
2012-10-01,39747.0
2012-11-01,40284.0
2012-12-01,41288.0
2013-01-01,38893.0
2013-02-01,38681.0
2013-03-01,38722.0
2013-04-01,38855.0
2013-05-01,39056.0
2013-06-01,39073.0
2013-07-01,39005.0
2013-08-01,39064.0
2013-09-01,39195.0
2013-10-01,39066.0
2013-11-01,39166.0
2013-12-01,39267.0
2014-01-01,39433.0
2014-02-01,39656.0
2014-03-01,39852.0
2014-04-01,39981.0
2014-05-01,40110.0
2014-06-01,40271.0
2014-07-01,40368.0
2014-08-01,40530.0
2014-09-01,40626.0
2014-10-01,40771.0
2014-11-01,40943.0
2014-12-01,41173.0
2015-01-01,41344.0
2015-02-01,41444.0
2015-03-01,41300.0
2015-04-01,41498.0
2015-05-01,41624.0
2015-06-01,41696.0
2015-07-01,41769.0
2015-08-01,41824.0
2015-09-01,41897.0
2015-10-01,41898.0
2015-11-01,41812.0
2015-12-01,41933.0
2016-01-01,42076.0
2016-02-01,42091.0
2016-03-01,42110.0
2016-04-01,42025.0
2016-05-01,41963.0
2016-06-01,41954.0
2016-07-01,42045.0
2016-08-01,42064.0
2016-09-01,42162.0
2016-10-01,42214.0
2016-11-01,42276.0
2016-12-01,42313.0
2017-01-01,42553.0
2017-02-01,42698.0
2017-03-01,42894.0
2017-04-01,42850.0
2017-05-01,43016.0
2017-06-01,42955.0
2017-07-01,43054.0
2017-08-01,43110.0
2017-09-01,43197.0
2017-10-01,43317.0
2017-11-01,43427.0
2017-12-01,43601.0
2018-01-01,44015.0
2018-02-01,44112.0
2018-03-01,44259.0
2018-04-01,44289.0
2018-05-01,44355.0
2018-06-01,44467.0
2018-07-01,44580.0
2018-08-01,44730.0
2018-09-01,44689.0
2018-10-01,44753.0
2018-11-01,44796.0
2018-12-01,45205.0
2019-01-01,45218.0
2019-02-01,45404.0
2019-03-01,45490.0
2019-04-01,45453.0
2019-05-01,45474.0
2019-06-01,45555.0
2019-07-01,45495.0
2019-08-01,45695.0
2019-09-01,45809.0
2019-10-01,45744.0
2019-11-01,45919.0
2019-12-01,45866.0
2020-01-01,46062.0
2020-02-01,46255.0
2020-03-01,45387.0
2020-04-01,51451.0
